,post_url,text,label
4039,https://facebook.com/nytimes/posts/10152453226489999,part supreme court four member liberal wing justice ruth bader ginsburg memorable work dissent justice ginsburg judicial legacy striking dissent,others
1739,https://facebook.com/nytimes/posts/10152868346549999,american figure skater nathan chen pulled nearly flawless short program team event last week face olympic rival yuzuru hanyu japan hour rival nathan chen yuzuru hanyu meet men short program,others
6579,https://facebook.com/nytimes/posts/10151853112164999,lawsuit jetblue say pilot drugged raped flight attendant last year airline took action learned assault jetblue face lawsuit saying pilot drugged raped flight attendant,angry
6817,https://facebook.com/nytimes/posts/10151837189189999,stay date week take quiz find news quiz test knowledge week headline,others
3236,https://facebook.com/nytimes/posts/10152632546444999,breaking news netflix mank led academy award field nomination two woman list best director first time mank lead diverse field oscar nominee,others
8586,https://facebook.com/nytimes/posts/10151494953399999,blood turn difficult thing live well almost carbohydrate nearly protein vitamin vampire bat live blood take gut,others
7370,https://facebook.com/nytimes/posts/229427011261028,president trump boast un general assembly drew laughter world leader told read,others
2989,https://facebook.com/nytimes/posts/10152701561544999,gay friendly parish something many catholic many lgbtq people know exist scattered city large town across country roughly dozen concentrated new york city catholic parish welcome new york community,others
4505,https://facebook.com/nytimes/posts/10152364513669999,detailed county map show extent coronavirus outbreak coronavirus case increasing decreasing,sad
7309,https://facebook.com/nytimes/posts/206476840265589,join u live filmmaker barry jenkins composer nicholas britell discus new film beale street could talk based james baldwin novel name leave question comment new york time contributor logan hill ask,others
8337,https://facebook.com/nytimes/posts/10151518548704999,russian hacker infiltrated european water power plant potential sabotage trump administration said cyberattacks put russian finger switch power plant say,angry
8362,https://facebook.com/nytimes/posts/10151516442544999,stephen hawking took part zero gravity flight asked took risk said want show people need limited physical handicap long disabled spirit stephen hawking word,others
2778,https://facebook.com/nytimes/posts/10152710909009999,three kid expect even want play took practice time learned better thing new york time magazine edan lepucki writes play kid play kid seriously,others
8632,https://facebook.com/nytimes/posts/10151495017044999,want restriction law abiding head nra said democrat think solution make le free chief wayne lapierre offer ardent defense nd amendment,angry
556,https://facebook.com/nytimes/posts/10152879842934999,roger stone close ally donald trump sued member jan house committee asking federal court block obtaining log text phone call part deemed effort persecute stone sue jan panel block access cellphone record,angry
7883,https://facebook.com/nytimes/posts/10151614717619999,offside penalty kick guy even know rule hold second video review come world cup,others
287,https://facebook.com/nytimes/posts/10152882878549999,valery gergiev star russian maestro prominent supporter president vladimir putin russia removed tuesday post chief conductor munich philharmonic refused denounce putin invasion ukraine,others
7866,https://facebook.com/nytimes/posts/10151615924139999,op doc film series new york time opinion section blue line painted tightly knit town new york meant show support police officer instead divided community opinion town divided blue life matter,sad
2417,https://facebook.com/nytimes/posts/10152779123999999,first time alabama known history state death birth grim milestone underscore pandemic calamitous toll covid stricken alabama death birth last year first recorded history,sad
3532,https://facebook.com/nytimes/posts/10152552025449999,meet jessica lauser reigning three time blind chess champion call chessica nickname math teacher gave eighth grade chess champion barely see board,others
1771,https://facebook.com/nytimes/posts/10152845502144999,number coronavirus case recorded may still fall short describing true destruction caused delta omicron variant testing slowed holiday,others
5262,https://facebook.com/nytimes/posts/10152132940634999,taliban ambushed peace convoy western afghanistan abducted activist member peace movement police spokesman said afghan official say taliban abducted peace activist,angry
